# listOfpdbName  # highestOverlapPosition  # highestOverlapValue  # highestCollectivityPosition  # highestCollectivityValue  # highestCorrelationPosition  # highestCorrelationValue
1JTG_l_u         9                         0.411350106806010      2                              0.989216264082160           57                            0.507391354476340
1JTG_r_u         8                         0.480250016785503      5                              0.951586593578628           6                             0.557469733235868
1K4C_l_u         43                        0.222283285558221      0                              0.961897867488658           76                            0.487079917760437
1K5D_l_u         8                         0.295221361779988      2                              0.810959223210413           100                           0.489638881654012
1K74_r_u         10                        0.236926693376869      3                              0.902714540505499           13                            0.512121045687230
1KAC_l_u         25                        0.290308590093041      2                              0.930553383936662           25                            0.415235821678530
1KLU_l_u         6                         0.341251668390909      0                              0.827560879065837           4                             0.366275362221812
1KLU_r_u         6                         0.352606954709427      0                              0.898246069561981           8                             0.604246678107722
1KTZ_r_u         199                       0.268500764537926      5                              0.835337888447036           31                            0.669748769186330
1KXP_l_u         6                         0.667397882366921      4                              0.969379261068679           9                             0.614421927780668
1KXP_r_u         8                         0.402924043289900      4                              0.848185295114547           8                             0.574306024637398
1KXQ_r_u         6                         0.377113279185055      2                              0.983261332077525           20                            0.380507404096911
1LFD_r_u         6                         0.244405845579938      2                              0.948230445643135           53                            0.579329627093165
1M10_r_u         9                         0.436271357887692      5                              0.853703288616003           18                            0.812077802519162
1MAH_l_u         12                        0.361339825617248      5                              0.932128386342330           15                            0.374139787629726
1ML0_r_u         6                         0.698273133255481      3                              0.941035957454772           9                             0.604128700850802
1MLC_l_u         19                        0.216282868499058      2                              0.823492480519199           19                            0.476574168810446
1MQ8_l_u         7                         0.608211545869779      5                              0.888382931820359           7                             0.593415404930619
1MQ8_r_u         6                         0.554552983127433      0                              0.955092060927068           7                             0.514233877600074
1N2C_r_u         23                        0.261155818845662      5                              0.880904882123710           28                            0.325658897788106
1N8O_l_u         6                         0.374617924212339      3                              0.895161372856636           253                           0.476140996831915
1N8O_r_u         33                        0.186276530243806      3                              0.877217683418021           22                            0.530252275070554
1NSN_l_u         13                        0.216685315781177      1                              0.951330012851010           18                            0.541701173269150
1NW9_l_u         9                         0.329277658651566      0                              0.926209256839857           17                            0.633273702161402
1OC0_r_u         9                         0.336116951417588      1                              0.945344519668563           16                            0.488979998989655
1OFU_r_u         71                        0.236469945999199      4                              0.992732097602065           115                           0.486750992987673
1OYV_l_u         7                         0.282799548923246      0                              0.855687844581622           15                            0.530779048581318
1PPE_l_u         15                        0.382486809882730      5                              0.948515732303252           6                             0.453747915864533
1PVH_l_u         7                         0.264688800470953      5                              0.922099224949524           11                            0.525806857633489
1PXV_l_u         6                         0.517471824603666      1                              0.961261635717246           22                            0.652049634006739
1QA9_l_u         155                       0.247962092609515      0                              0.987484479742164           134                           0.715531012546547
1QA9_r_u         74                        0.236799762630296      1                              0.890500830361877           16                            0.474037092682782
1QFW_l_u         9                         0.255230391735698      5                              0.958871280104765           17                            0.567772867772646
1R0R_l_u         7                         0.449315824993858      0                              0.915534424947682           2                             0.599800629942672
1RLB_l_u         8                         0.225444526112922      3                              0.930061400448615           12                            0.482952838939639
1RLB_r_u         43                        0.137987772847682      5                              0.940224980654934           185                           0.469004371308085
1RV6_r_u         6                         0.751052436562160      0                              0.975382670260654           6                             0.649462409011724
1S1Q_l_u         13                        0.404375990039518      5                              0.987780802006020           13                            0.648640179724078
1S1Q_r_u         6                         0.309275238375412      0                              0.965320779837761           16                            0.568851549792998
1SBB_l_u         6                         0.263746079747765      2                              0.978839730822942           13                            0.571321638516060
1SYX_l_u         75                        0.204266500724165      2                              0.846857012855947           5                             0.435304769066485
1T6B_l_u         12                        0.251282348498150      5                              0.901506309466590           2                             0.543453708977072
1T6B_r_u         6                         0.754363186870074      4                              0.903449297057533           3                             0.609647709658037
1TMQ_l_u         9                         0.313326199558202      0                              0.973181490531030           7                             0.744012782586204
1UDI_l_u         9                         0.224169673293796      3                              0.959992717645505           24                            0.598582883424503
1UDI_r_u         7                         0.488194954563352      2                              0.927216843655335           56                            0.548890252209122
1US7_r_u         14                        0.307348654357821      2                              0.975111029765568           14                            0.597005229836670
1VFB_l_u         20                        0.276539981539851      5                              0.957150684083753           20                            0.570401731669888
1WEJ_l_u         10                        0.179884794350402      5                              0.926176914120716           17                            0.432273379103876
1WQ1_r_u         11                        0.332731915501876      2                              0.886677505697431           12                            0.652786727220125
1XD3_l_u         13                        0.425694505768707      3                              0.965829477322960           10                            0.548029781909198
1XQS_l_u         15                        0.348206982656270      5                              0.924575148668737           22                            0.619413390306897
1XU1_l_u         7                         0.507761832892662      5                              0.944898952464543           14                            0.737062478442240
1XU1_r_u         38                        0.210438833591108      5                              0.958244307763589           59                            0.501311234594492
1YVB_l_u         8                         0.325939592400728      3                              0.982706048530068           0                             0.629275367293516
1YVB_r_u         7                         0.324352203966161      0                              0.901589962745898           6                             0.670538514448778
1Z0K_r_u         13                        0.250739051561710      3                              0.886635775042658           48                            0.659579613611671
1Z5Y_r_u         10                        0.298934630229771      1                              0.915652591893653           2                             0.507048589751235
1ZHH_l_u         11                        0.313676731704813      0                              0.968016126518368           66                            0.434575325042207
1ZHH_r_u         6                         0.506920623385570      2                              0.965803448667423           0                             0.572119938031844
1ZHI_l_u         6                         0.567203847763819      3                              0.890381673779366           6                             0.620097547254983
1ZHI_r_u         11                        0.526550430148372      1                              0.904408863893114           54                            0.730033148620827
1ZM4_l_u         7                         0.280536984173653      5                              0.934071210554273           12                            0.777256858990406
2A5T_l_u         118                       0.208669471669822      4                              0.908453119376398           139                           0.474228659966077
2A5T_r_u         24                        0.235574713179687      2                              0.952507289799696           60                            0.557698249626140
2A9K_l_u         6                         0.630524206512106      4                              0.966441579029353           3                             0.504937815824814
2AJF_l_u         10                        0.408276217092253      0                              0.912887291515112           13                            0.665032242728624
2AJF_r_u         6                         0.307675958686657      4                              0.846165997268657           43                            0.482521628445727
2B42_l_u         7                         0.494492112009376      0                              0.904542416516558           6                             0.777367095008443
2B4J_r_u         19                        0.390484184739083      3                              0.936013313075816           19                            0.823417067719483
2BTF_l_u         14                        0.316768586485769      0                              0.880768731696486           11                            0.773694256852677
2BTF_r_u         6                         0.605640762294060      3                              0.988343898425692           7                             0.913330676891460
2C0L_r_u         6                         0.537320599162788      4                              0.908657832373301           8                             0.824174111447914
2CFH_r_u         158                       0.153049746163523      2                              0.920565871353348           7                             0.421924136533568
2FD6_l_u         7                         0.613810849305299      1                              0.952948091225121           7                             0.708560673061566
2FD6_r_u         7                         0.560977335159067      0                              0.975872097050452           6                             0.480944329450938
2FJU_l_u         7                         0.560602606631683      1                              0.974157715452655           13                            0.606710711694682
2G77_r_u         9                         0.308266091970940      1                              0.968233881889351           20                            0.498462115222591
2H7V_r_u         6                         0.380446571454598      0                              0.917960062414042           7                             0.638052381921723
2HQS_l_u         8                         0.521591695782471      2                              0.877434564513740           13                            0.687991093066186
2I25_l_u         8                         0.325129845730285      1                              0.940430477379348           28                            0.504164223668550
2J0T_r_u         9                         0.264820884006353      2                              0.965484952834894           7                             0.463232579702407
2JEL_l_u         63                        0.245901137556867      0                              0.965444303923676           35                            0.484798310626380
2MTA_l_u         7                         0.386628911025137      3                              0.913718655478243           9                             0.818832760465751
2O8V_l_u         12                        0.305575754783605      1                              0.923187084963754           31                            0.509447788104717
2O8V_r_u         7                         0.393456444312362      3                              0.881440452337712           12                            0.590040970856045
2OOR_r_u         6                         0.262053617919446      2                              0.994049458867404           44                            0.487783750993267
2OT3_r_u         8                         0.672833023413731      0                              0.844174403157094           8                             0.722510011774491
2OUL_l_u         17                        0.378469868934635      3                              0.811732329873782           38                            0.539190420593398
2PCC_l_u         6                         0.213875032775180      2                              0.952415629736422           6                             0.666956713831965
2PCC_r_u         11                        0.311793316654601      1                              0.903100642704440           14                            0.590641768558463
2SIC_l_u         17                        0.205734610592423      2                              0.941518925211944           24                            0.283783073192336
2SNI_l_u         18                        0.507191637643489      3                              0.938225371916659           17                            0.707487676691141
2UUY_l_u         11                        0.452119735046893      0                              0.982636061245239           32                            0.776004998430461
2VDB_l_u         9                         0.444761015154540      3                              0.969056753867618           12                            0.673254692408224
2Z0E_r_u         12                        0.268831979133904      3                              0.862633683803234           175                           0.586434896828713
3BP8_l_u         10                        0.376109666887953      5                              0.916816440357681           9                             0.624382039221662
3BP8_r_u         8                         0.610871176435553      5                              0.911515836463373           16                            0.635741430599513
3CPH_r_u         9                         0.539780024334160      1                              0.820189065814416           9                             0.549918511039708
3D5S_l_u         6                         0.378399474174334      1                              0.949138209073527           13                            0.636138913660664
3D5S_r_u         6                         0.364333382096425      1                              0.936201560963894           9                             0.588967004574888
3SGQ_l_u         26                        0.321055413978692      3                              0.940326214921735           2                             0.523881464043750
4CPA_l_u         10                        0.251437502338230      3                              0.957859170762061           2                             0.435043514779607
4CPA_r_u         7                         0.260357951112240      3                              0.847569560582107           30                            0.537043380418637
7CEI_l_u         9                         0.214537447204110      4                              0.768275523994550           141                           0.414356854704182
7CEI_r_u         7                         0.398541641676137      0                              0.790128636759156           25                            0.835172926983079
