Sat Mar 30 20:11:56 2019    /home/cyppsp/cNMA_github/Example/Example3/Output/profiler.pro

         35468366 function calls (35147941 primitive calls) in 101.271 seconds

   Ordered by: cumulative time
   List reduced from 1273 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  101.271  101.271 /home/cyppsp/cNMA_github//Software/NMAUnified.py:853(mainCalculation)
        1    0.000    0.000   76.520   76.520 /home/cyppsp/cNMA_github//Software/NMAUnified.py:394(calculateMeasuresExpanding)
        1    0.006    0.006   76.249   76.249 /home/cyppsp/cNMA_github/Software/RMSDReducer.py:436(calcRMSDReductionsExpandingSet)
       58    0.001    0.000   75.879    1.308 /home/cyppsp/cNMA_github/Software/timeout.py:19(wrapper)
       58    0.003    0.000   75.878    1.308 /home/cyppsp/cNMA_github/Software/RMSDReducer.py:799(obtainLstSqBetasGeneralizedExpanding)
       58    0.000    0.000   75.671    1.305 <decorator-gen-7>:1(cg)
       58    0.001    0.000   75.671    1.305 /home/cyppsp/anaconda2/lib/python2.7/site-packages/scipy/_lib/_threadsafety.py:44(caller)
       58   10.085    0.174   75.668    1.305 /home/cyppsp/anaconda2/lib/python2.7/site-packages/scipy/sparse/linalg/isolve/iterative.py:265(cg)
   833461    2.282    0.000   60.873    0.000 /home/cyppsp/anaconda2/lib/python2.7/site-packages/scipy/sparse/linalg/interface.py:188(matvec)
   416815    0.429    0.000   55.951    0.000 /home/cyppsp/anaconda2/lib/python2.7/site-packages/scipy/sparse/linalg/interface.py:176(_matvec)
   416815    0.856    0.000   55.305    0.000 /home/cyppsp/anaconda2/lib/python2.7/site-packages/scipy/sparse/linalg/interface.py:290(matmat)
   416815    0.301    0.000   53.925    0.000 /home/cyppsp/anaconda2/lib/python2.7/site-packages/scipy/sparse/linalg/interface.py:609(_matmat)
   416815   53.624    0.000   53.624    0.000 {method 'dot' of 'numpy.ndarray' objects}
        1    0.001    0.001   13.721   13.721 /home/cyppsp/cNMA_github//Software/NMAUnified.py:314(setupNMA)
        1    0.016    0.016   13.057   13.057 /home/cyppsp/cNMA_github/Software/ANMs.py:144(calcANMsUnified)


